Legal Entity,Investor,Vehicle
Nordvik Infrastructure V US QFPF EUR SCSp,VEX Alternative Investment Fund I,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,VUB Alternative Investment Fund I,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF USD Feeder SCSp,NI V Sponsor Investor US K/S,NIP V US QFPF USD Feeder - Initial Partner
Nordvik Infrastructure V US QFPF USD Feeder SCSp,Nordvik Infrastructure Partners GP Interests Holding K/S,NIP V US QFPF USD Feeder - Initial Partner
Nordvik Infrastructure V US QFPF USD Feeder SCSp,Nordvik Infrastructure V GP S.à r.l.,NIP V US QFPF USD Feeder General Partner
Nordvik Infrastructure V USD Blocker Feeder SCSp,Nordvik Infrastructure Partners GP Interests Holding K/S,NIP V USD Blocker Feeder - Initial Partner
Nordvik Infrastructure V USD Blocker Feeder SCSp,Nordvik Infrastructure V GP S.à r.l.,NIP V USD Blocker Feeder General Partner
Nordvik Infrastructure V USD Blocker Feeder SCSp,"Lammdale Investment Corporation, solely in its capacity as agent for the Ministry of Alderdale and Finance of the Republic of Lammdale",Nordvik Infrastructure V USD Blocker Feeder SCSp - Korea
Nordvik Infrastructure V USD Blocker Feeder SCSp,"Non-Landale Portfolio, L.P.",Nordvik Infrastructure V USD Blocker Feeder SCSp - Class A
Nordvik Infrastructure V USD Blocker Feeder SCSp,"Non-Landale Portfolio, L.P.",Nordvik Infrastructure V USD Blocker Feeder SCSp - Class A
Nordvik Infrastructure V USD Blocker Feeder SCSp,The Innbury Pension Fund,Nordvik Infrastructure V USD Blocker Feeder SCSp - Class A
Nordvik Infrastructure V USD Blocker Feeder SCSp,GAD LUF Corp.,Nordvik Infrastructure V USD Blocker Feeder SCSp - Class A
Nordvik Infrastructure V USD Feeder K/S,Nordvik Infrastructure V GP ApS,Nordvik Infrastructure V USD Feeder K/S - General Partner
Nordvik Infrastructure V USD Feeder K/S,Losmere Asset Management Limited,Nordvik Infrastructure V USD Feeder K/S - Class A
Nordvik Infrastructure V USD Feeder SCSp,Ferrdale Public Employees’ Retirement System,NIP V USD - Class A
Nordvik Infrastructure V USD Feeder SCSp,Nordvik Infrastructure Partners GP Interests Holding K/S,NIP V USD - Initial Partner
Nordvik Infrastructure V USD Feeder SCSp,Nordvik Infrastructure V GP S.à r.l.,NIP V USD - General Partner
Nordvik Infrastructure V USD Feeder SCSp,State of Clanholm Dunford State Investment Council,NIP V USD - Class A
Nordvik Infrastructure V USD Feeder SCSp,Vanworth Pension Investment Commission,NIP V USD - Class A
DK NI Co-Invest K/S,Ferrvale - Wickstead Pensionskasse,DK NI Co-Invest K/S - LP interest
DK NI Co-Invest K/S,LUQ Pension livsforsikringsaktieselskab,DK NI Co-Invest K/S - LP interest
DK NI Co-Invest K/S,Cantbury Pension – pensionskassen for innstead,DK NI Co-Invest K/S - LP interest
DK NI Co-Invest K/S,Brinwick Pension Forsikringsaktieselskab,DK NI Co-Invest K/S - LP interest
Delling NI Co-Invest SCSp,NIP Global Energy Transition Aggregator - I,Delling NI Co-Invest SCSp
Delling NI Co-Invest SCSp,Nordvik Infrastructure Co-Invest GP S.à r.l.,Delling NI Co-Invest SCSp - GP Interest
Delling NI Co-Invest SCSp,ROSKTHORPE Holdings LLC,Delling NI Co-Invest SCSp
Delling NI Co-Invest SCSp,Haldgarth Ravworth Funding Ltd.,Delling NI Co-Invest SCSp
Freyr NI Co-invest LP,NIP Affiliated Managers ApS,NIP Affiliated Managers ApS - LP Interest
Freyr NI Co-invest LP,Nordvik Infrastructure Co-Invest GP S.à r.l.,NIP V Co-Invest GP S.a.r.l
Freyr NI Co-invest LP,Nordvik Infrastructure Partners GP Interests Holding K/S,NIP GP Interests Holdings K/S
Freyr NI Co-invest LP,Wrenley Investment Pte. Ltd.,Freyr NI Co-invest LP
Magni NI Co-Invest SCSp,Nordvik Infrastructure Co-Invest GP S.à r.l.,Magni NI Co-Invest SCSp - GP Interest
Magni NI Co-Invest SCSp,Kelmvale Development Bank,Magni NI Co-Invest SCSp - LP Interest
FS NI Co-Invest SCSp,Nordvik Infrastructure Co-Invest GP S.à r.l.,FS NI Co-Invest SCSp - GP Interest
FS NI Co-Invest SCSp,Nordvik Infrastructure Partners GP Interests Holding K/S,FS NI Co-Invest SCSp - LP Interest
FS NI Co-Invest SCSp,Ferrgarth ömsesidig livförsäkring,FS NI Co-Invest SCSp - LP Interest
FS NI Co-Invest SCSp,Ferrgarth ömsesidig sakförsäkring,FS NI Co-Invest SCSp - LP Interest
FS NI Co-Invest SCSp,Ferrgarth Tjänstepension AB,FS NI Co-Invest SCSp - LP Interest
FS NI Co-Invest SCSp,Kirkvale pensionsstiftelse,FS NI Co-Invest SCSp - LP Interest
FS NI Co-Invest SCSp,KUN Tjänstepensionsförsäkring AB (grenberg),FS NI Co-Invest SCSp - LP Interest
Pleione NI Co-Invest SCSp,Nordvik Infrastructure Co-Invest GP S.à r.l.,Pleione NI Co-Invest SCSp - GP Interest
Pleione NI Co-Invest SCSp,Nordvik Infrastructure Partners GP Interests Holding K/S,Pleione NI Co-Invest SCSp - LP Interest
Pleione NI Co-Invest SCSp,Brackhurst Investment Pte. Ltd.,Pleione NI Co-Invest SCSp - LP Interest
IP NI Co-invest K/S,Nordvik Infrastructure V GP ApS,IP NI Co-Invest K/S - GP Interest
IP NI Co-invest K/S,Innley Verrholm A/S,IP NI Co-invest K/S - LP Interest
Alcor NI Co-Invest SCSp,Glanshaw Ormbury Management Consulting Corporation,Alcor NI Co-Invest SCSp - Class A
Alcor NI Co-Invest SCSp,NIP Affiliated Managers ApS,Alcor NI Co-Invest SCSp - Class C
Alcor NI Co-Invest SCSp,Nordvik Infrastructure Co-Invest GP S.à r.l.,Alcor NI Co-Invest SCSp - GP Interest
Alcor NI Co-Invest SCSp,Nordvik Infrastructure Partners Inc.,Alcor NI Co-Invest SCSp - Class C
Kommanditselskabet af 20 juni 2023,LUQ Pension livsforsikringsaktieselskab,Kommanditselskabet af 20 juni 2023 - Class A
Kommanditselskabet af 20 juni 2023,Lindmere Pension - Pensionskassen for Innstead,Kommanditselskabet af 20 juni 2023 - Class B
Kommanditselskabet af 20 juni 2023,Brinwick Pension Forsikringsaktieselskab,Kommanditselskabet af 20 juni 2023 - Class C
Alnair NI Co-invest LP,NIP Affiliated Managers ApS,NIP Affiliated Managers ApS - LP Interest
Alnair NI Co-invest LP,Nordvik Infrastructure Co-Invest GP S.à r.l.,NIP V Co-Invest GP S.a.r.l
Alnair NI Co-invest LP,Nordvik Infrastructure Partners GP Interests Holding K/S,NIP GP Interests Holdings K/S
Alnair NI Co-invest LP,Wrenley Investment Pte. Ltd.,Alnair NI Co-invest LP
Avior NI Co-Invest SCSp,VEM-Ardvik 84,Avior NI Co-Invest SCSp - LP Interest
Avior NI Co-Invest SCSp,CIS-Ardvik 63 Vermögensverwaltungsgesellschaft mbH,Avior NI Co-Invest SCSp - LP Interest
Avior NI Co-Invest SCSp,Nordvik Infrastructure Co-Invest GP S.à r.l.,Avior NI Co-Invest SCSp - GP Interest
Avior NI Co-Invest SCSp,Nordvik Infrastructure Partners GP Interests Holding K/S,Avior NI Co-Invest SCSp - LP Interest
SCRF NI Co-Invest SCSp,NI IV Sponsor Investor K/S,SCRF NI Co-Invest SCSp - Class B
SCRF NI Co-Invest SCSp,NI IV Sponsor Investor US K/S,SCRF NI Co-Invest SCSp - Class B
SCRF NI Co-Invest SCSp,NIP Co-invest Blocker K/S,SCRF NI Co-Invest SCSp - Class B
SCRF NI Co-Invest SCSp,"COMPTROLLER OF THE STATE OF CLANHOLM DEZ, AS TRUSTEE OF THE COMMON RETIREMENT FUND",SCRF NI Co-Invest SCSp - Class A
SCRF NI Co-Invest SCSp,Nordvik Infrastructure Partners GP Interests Holding K/S,SCRF NI Co-Invest SCSp - Class B
SCRF NI Co-Invest SCSp,SCRF NI Co-Invest GP S.à r.l.,SCRF NI Co-Invest SCSp - GP Interest
Whimbrel NI Co-Invest I SCSp,Nordvik Infrastructure Co-Invest GP S.à r.l.,Whimbrel NI Co-Invest I SCSp - GP Interest
Whimbrel NI Co-Invest I SCSp,Tarnvik National Retirement Service,Whimbrel NI Co-Invest I SCSp - Limited partner
Windwardhill NI Co-Invest SCSp,WID GP Investor AS,Windwardhill NI Co-Invest SCSp
Windwardhill NI Co-Invest SCSp,WID Draymere Funds AS,Windwardhill NI Co-Invest SCSp
Woodruff NI Co-Invest SCSp,Nordvik Infrastructure Co-Invest GP S.à r.l.,Woodruff NI Co-Invest SCSp - GP interest
Woodruff NI Co-Invest SCSp,Lindmere Pension - Pensionskassen for Innstead,Woodruff NI Co-Invest SCSp - LP Interest
